HS4,direction,mass,year
7324,export,4477797.0,1999
7324,export,3159690.0,2000
7324,export,3130145.0,2001
7324,export,3555442.0,2002
7324,export,3738324.0,2003
7324,export,3838526.0,2004
7324,export,3627211.0,2005
7324,export,3648618.0,2006
7324,export,3930901.0,2007
7324,export,3043604.0,2008
7324,export,2523977.0,2009
7324,export,3162528.0,2010
7324,export,2228567.0,2011
7324,export,2869982.0,2012
7324,export,2494435.0,2013
7324,export,2538432.0,2014
7324,export,2438333.0,2015
7324,export,2699891.0,2016
7324,export,2650813.0,2017
7324,import,11338250.0,1996
7324,import,14936398.0,1997
7324,import,17921405.0,1998
7324,import,21292227.0,1999
7324,import,19677231.0,2000
7324,import,19595894.0,2001
7324,import,26270870.0,2002
7324,import,23777095.0,2003
7324,import,28428568.0,2004
7324,import,46458142.0,2005
7324,import,31399566.0,2006
7324,import,32942276.0,2007
7324,import,26618745.0,2008
7324,import,25964190.0,2009
7324,import,23394650.0,2010
7324,import,23911260.0,2011
7324,import,24138952.0,2012
7324,import,24487133.0,2013
7324,import,24665996.0,2014
7324,import,22181441.0,2015
7324,import,19760904.0,2016
7324,import,21685846.0,2017
7325,export,95725148.0,1996
7325,export,87569651.0,1997
7325,export,86834833.0,1998
7325,export,81646400.0,1999
7325,export,74957806.0,2000
7325,export,99236997.0,2001
7325,export,96714383.0,2002
7325,export,91784171.0,2003
7325,export,109305477.0,2004
7325,export,106833688.0,2005
7325,export,115276121.0,2006
7325,export,118405278.0,2007
7325,export,101847576.0,2008
7325,export,48830347.0,2009
7325,export,62362733.0,2010
7325,export,77351039.0,2011
7325,export,69905417.0,2012
7325,export,67025724.0,2013
7325,export,68773606.0,2014
7325,export,36539343.0,2015
7325,export,33908955.0,2016
7325,export,35510925.0,2017
7325,import,53025870.0,1996
7325,import,64748670.0,1997
7325,import,72663157.0,1998
7325,import,69300437.0,1999
7325,import,76561728.0,2000
7325,import,136032420.0,2001
7325,import,109487359.0,2002
7325,import,114720626.0,2003
7325,import,114471310.0,2004
7325,import,122068599.0,2005
7325,import,145340713.0,2006
7325,import,154066173.0,2007
7325,import,140605742.0,2008
7325,import,75999375.0,2009
7325,import,110971631.0,2010
7325,import,124883083.0,2011
7325,import,116894016.0,2012
7325,import,115424157.0,2013
7325,import,127523229.0,2014
7325,import,111913481.0,2015
7325,import,101657728.0,2016
7325,import,117858398.0,2017
7326,export,99991853.0,1996
7326,export,123555480.0,1997
7326,export,167993108.0,1998
7326,export,127798472.0,1999
7326,export,112626568.0,2000
7326,export,116659178.0,2001
7326,export,135790536.0,2002
7326,export,148842730.0,2003
7326,export,153307509.0,2004
7326,export,160350638.0,2005
7326,export,155458260.0,2006
7326,export,206448727.0,2007
7326,export,186921268.0,2008
7326,export,166204343.0,2009
7326,export,199267336.0,2010
7326,export,171628238.0,2011
7326,export,134875340.0,2012
7326,export,149262151.0,2013
7326,export,149952539.0,2014
7326,export,127949263.0,2015
7326,export,129931570.0,2016
7326,export,143417078.0,2017
7326,import,119925878.0,1996
7326,import,138129189.0,1997
7326,import,161709470.0,1998
7326,import,150616259.0,1999
7326,import,165795071.0,2000
7326,import,157916985.0,2001
7326,import,184384335.0,2002
7326,import,235947570.0,2003
7326,import,268704329.0,2004
7326,import,489706049.0,2005
7326,import,398174385.0,2006
7326,import,401067277.0,2007
7326,import,345108179.0,2008
7326,import,217771958.0,2009
7326,import,277342193.0,2010
7326,import,337819706.0,2011
7326,import,284184660.0,2012
7326,import,371948044.0,2013
7326,import,331110708.0,2014
7326,import,276388841.0,2015
7326,import,289154498.0,2016
7326,import,266691084.0,2017
82--,export,2999215.0,2015
82--,export,3304188.0,2016
82--,export,3137747.0,2017
82--,import,9126032.0,2015
82--,import,10629265.0,2016
82--,import,10701133.0,2017
8201,export,4592472.0,1996
8201,export,4547165.0,1997
8201,export,3109112.0,1998
8201,export,4951284.0,1999
8201,export,4192715.0,2000
8201,export,5297526.0,2001
8201,export,5419684.0,2002
8201,export,3135896.0,2003
8201,export,2569652.0,2004
8201,export,2607200.0,2005
8201,export,3157465.0,2006
8201,export,3041686.0,2007
8201,export,2689480.0,2008
8201,export,2229639.0,2009
8201,export,2023581.0,2010
8201,export,2447905.0,2011
8201,export,4943081.0,2012
8201,export,4894253.0,2013
8201,export,4107122.0,2014
8201,export,2392999.0,2015
8201,export,2022294.0,2016
8201,export,2443475.0,2017
8201,import,7253925.0,1996
8201,import,8190293.0,1997
8201,import,9482521.0,1998
8201,import,12148201.0,1999
8201,import,13539277.0,2000
8201,import,14607358.0,2001
8201,import,16169434.0,2002
8201,import,17677557.0,2003
8201,import,16991743.0,2004
8201,import,17463333.0,2005
8201,import,16596315.0,2006
8201,import,21325696.0,2007
8201,import,16158434.0,2008
8201,import,14223322.0,2009
8201,import,17753706.0,2010
8201,import,18484622.0,2011
8201,import,14927393.0,2012
8201,import,14811322.0,2013
8201,import,18827777.0,2014
8201,import,19967783.0,2015
8201,import,18230269.0,2016
8201,import,18600590.0,2017
8202,export,5171545.0,1996
8202,export,4743836.0,1997
8202,export,5116038.0,1998
8202,export,5212986.0,1999
8202,export,5177308.0,2000
8202,export,5113468.0,2001
8202,export,4903941.0,2002
8202,export,5368139.0,2003
8202,export,5357769.0,2004
8202,export,9474845.0,2005
8202,export,6605564.0,2006
8202,export,7018531.0,2007
8202,export,4862000.0,2008
8202,export,3851096.0,2009
8202,export,4684823.0,2010
8202,export,4837584.0,2011
8202,export,3925251.0,2012
8202,export,4475221.0,2013
8202,export,4000865.0,2014
8202,export,3742840.0,2015
8202,export,3301310.0,2016
8202,export,3186013.0,2017
8202,import,5748595.0,1996
8202,import,6598090.0,1997
8202,import,8772144.0,1998
8202,import,10475006.0,1999
8202,import,12680296.0,2000
8202,import,12795980.0,2001
8202,import,12380563.0,2002
8202,import,14772153.0,2003
8202,import,11179951.0,2004
8202,import,11066757.0,2005
8202,import,10910335.0,2006
8202,import,12410431.0,2007
8202,import,10253387.0,2008
8202,import,6782230.0,2009
8202,import,9556548.0,2010
8202,import,8243156.0,2011
8202,import,7926413.0,2012
8202,import,7841997.0,2013
8202,import,10250792.0,2014
8202,import,9071570.0,2015
8202,import,8986458.0,2016
8202,import,9717543.0,2017
8203,export,1745754.0,1996
8203,export,1952538.0,1997
8203,export,1625022.0,1998
8203,export,1262836.0,1999
8203,export,2958109.0,2000
8203,export,2957287.0,2001
8203,export,2985148.0,2002
8203,export,1954411.0,2003
8203,export,1563498.0,2004
8203,export,1869907.0,2005
8203,export,2139728.0,2006
8203,export,2156269.0,2007
8203,export,2118425.0,2008
8203,export,1173600.0,2009
8203,export,1269808.0,2010
8203,export,1775905.0,2011
8203,export,1082748.0,2012
8203,export,1245855.0,2013
8203,export,1469697.0,2014
8203,export,1227357.0,2015
8203,export,1256174.0,2016
8203,export,1508409.0,2017
8203,import,3293274.0,1996
8203,import,3677564.0,1997
8203,import,101488214.0,1998
8203,import,10003292.0,1999
8203,import,5167545.0,2000
8203,import,4302805.0,2001
8203,import,16204177.0,2002
8203,import,8441539.0,2003
8203,import,212084999.0,2004
8203,import,9701390.0,2005
8203,import,8164010.0,2006
8203,import,15349625.0,2007
8203,import,7639521.0,2008
8203,import,5432485.0,2009
8203,import,6010960.0,2010
8203,import,5689496.0,2011
8203,import,5219441.0,2012
8203,import,5589690.0,2013
8203,import,6888965.0,2014
8203,import,6122569.0,2015
8203,import,6077167.0,2016
8203,import,5935309.0,2017
8204,export,1730165.0,1996
8204,export,1727135.0,1997
8204,export,1590610.0,1998
8204,export,2061246.0,1999
8204,export,3564160.0,2000
8204,export,3898368.0,2001
8204,export,2459129.0,2002
8204,export,5437220.0,2003
8204,export,3817907.0,2004
8204,export,4415708.0,2005
8204,export,4263683.0,2006
8204,export,4277305.0,2007
8204,export,4407205.0,2008
8204,export,34221011.0,2009
8204,export,4478841.0,2010
8204,export,3396242.0,2011
8204,export,2225941.0,2012
8204,export,2311899.0,2013
8204,export,2265472.0,2014
8204,export,2209870.0,2015
